T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,GD
Urgot,Lillia,Vex,Kaisa,Nami,Aatrox,Shyvana,Diana,Varus,Morgana,-8892
Kayle,LeeSin,Yasuo,Twitch,Blitzcrank,Aatrox,Diana,Darius,Jhin,Lux,-9987
Mordekaiser,Shyvana,Diana,Yasuo,Alistar,Warwick,Skarner,Lux,Trundle,Anivia,-6684
Aatrox,Kayn,Diana,KogMaw,Sion,Zilean,Evelynn,Qiyana,Ezreal,Teemo,15803
Darius,Sejuani,TwistedFate,Caitlyn,Renata,Nasus,Diana,Olaf,Jinx,Brand,9939
Chogath,Shyvana,Talon,Jhin,Nautilus,Nasus,Amumu,Vi,Caitlyn,Lux,1752
Gwen,Volibear,Hwei,Varus,Yuumi,Sion,Kayn,Pantheon,Nilah,Lux,10069
DrMundo,Kindred,Twitch,KogMaw,Lux,Gwen,Teemo,Diana,Smolder,Caitlyn,9999
Sion,Ekko,Diana,Jhin,Zyra,Skarner,MonkeyKing,Veigar,Smolder,Xerath,8496
Ornn,Warwick,Diana,Ezreal,Karma,Pantheon,Skarner,Fizz,Jhin,Blitzcrank,-7694
Aatrox,Diana,Sion,MissFortune,Ashe,Akali,Udyr,Corki,Jinx,Taric,-9505
Kennen,Vi,Yone,Jinx,Zyra,Jax,Nocturne,Diana,MissFortune,TahmKench,-7943
Renekton,Viego,Hwei,Smolder,Xerath,Kayle,Brand,Talon,Draven,Blitzcrank,-6476
Riven,Karthus,Lux,Tristana,Zilean,Poppy,Sejuani,Yasuo,Jhin,Bard,-11992
Kled,LeeSin,Ahri,Smolder,Morgana,Illaoi,Elise,Yasuo,Varus,Maokai,-8727
Rumble,Rengar,Qiyana,Twitch,Amumu,Garen,MasterYi,Teemo,Tristana,Swain,-14136
Sett,Udyr,Taliyah,Hwei,Yuumi,Mordekaiser,Tryndamere,Yone,Jhin,Ashe,11470
Teemo,Amumu,Ahri,Yone,Yasuo,Pantheon,Udyr,Zyra,Ashe,Senna,5744
Irelia,Warwick,Sylas,Tristana,Blitzcrank,Jax,Khazix,Naafiri,MissFortune,Morgana,10061
Olaf,Twitch,Veigar,Samira,Hwei,Gragas,XinZhao,Orianna,Caitlyn,Lux,-6678
Jax,Amumu,Viktor,Jhin,Yuumi,Teemo,MasterYi,Yasuo,Ashe,Lux,5087
Jax,Amumu,Corki,Jhin,Lulu,Ornn,Brand,Malzahar,Lucian,Lux,-11040
Lissandra,Nasus,Jhin,Shaco,Nidalee,Bard,Vi,Blitzcrank,MissFortune,Sion,-9254
Darius,Morgana,Katarina,Twitch,Nautilus,Sett,Evelynn,Viktor,MissFortune,Lux,-11552
Malphite,XinZhao,Ashe,Orianna,Chogath,Kayle,Belveth,Fizz,Twitch,Zyra,1101
Sett,Karthus,Talon,Twitch,Pyke,TahmKench,Elise,Yone,Sivir,Galio,8929
Singed,Ekko,Galio,Twitch,Nautilus,Zac,Skarner,Akali,KogMaw,Brand,4239
Vayne,MasterYi,Katarina,Twitch,Rumble,Illaoi,Amumu,Lux,Jinx,Nami,17837
Zac,Sejuani,Swain,Twitch,Zyra,Aatrox,Ekko,Diana,Jinx,Blitzcrank,5551
Illaoi,Nidalee,AurelionSol,Sivir,Lux,Gwen,Rengar,Brand,Ashe,Sona,-8037
DrMundo,MasterYi,Zed,Twitch,Morgana,Darius,Seraphine,Brand,Jinx,Sona,7831
Aatrox,Seraphine,Yasuo,Twitch,Yuumi,Teemo,Nocturne,Brand,Draven,Leona,6339
Kled,Viego,Lux,Jinx,Brand,TahmKench,Jax,Zyra,Jhin,Leona,-6977
Tryndamere,Volibear,Azir,Jhin,Brand,Nasus,MasterYi,Veigar,Twitch,Zyra,-5
Veigar,XinZhao,Hwei,Twitch,Nami,Yone,Darius,Sylas,Samira,Seraphine,5894
DrMundo,Elise,Akali,Samira,Rakan,KSante,LeeSin,Viktor,Ashe,Pantheon,-12850
Malphite,LeeSin,Galio,Kalista,Seraphine,Chogath,Briar,Hwei,Caitlyn,Pyke,-9967
Sett,Ahri,Ivern,Ornn,Senna,Poppy,MonkeyKing,Corki,Brand,Ashe,-12082
Darius,Elise,Ahri,Kalista,Senna,Karma,Maokai,Lux,Kaisa,Brand,15579
Nasus,Karthus,Hwei,Ezreal,Thresh,Sion,Diana,Veigar,Zeri,Seraphine,-8369
Syndra,Renata,Sion,Kalista,Kayn,DrMundo,Ashe,Taric,Volibear,Galio,-6328
Rell,Amumu,Illaoi,Ziggs,Vayne,Syndra,Senna,Kayle,Ornn,XinZhao,-5154
Skarner,Heimerdinger,Garen,Galio,Jinx,Syndra,Senna,DrMundo,Kalista,Ivern,-12509
Volibear,Lillia,Graves,Kalista,Senna,Chogath,Shen,Azir,Ezreal,Janna,9974
Teemo,FiddleSticks,Ekko,Zeri,Seraphine,Camille,MasterYi,Brand,Jhin,Blitzcrank,-12528
Vayne,Warwick,Hwei,Lucian,Pyke,Tryndamere,Nocturne,Sylas,Zeri,Rakan,-562
Urgot,Diana,Katarina,Jhin,Zyra,Tryndamere,Kayn,Galio,Kalista,Senna,-10713
Volibear,MasterYi,Galio,Ashe,Seraphine,Mordekaiser,Warwick,Diana,Nilah,Nasus,-13912
Singed,LeeSin,Galio,Ashe,Seraphine,Shen,Ivern,Brand,Lucian,Thresh,-5894
Sett,Hecarim,Veigar,Kalista,Seraphine,Renekton,Graves,Brand,Karthus,Thresh,643
Aatrox,Lillia,Malzahar,Draven,Swain,Kayle,Jax,Seraphine,Nautilus,Senna,14584
Gangplank,LeeSin,Brand,Kalista,Maokai,Irelia,Amumu,AurelionSol,Zeri,Nasus,-4725
Sylas,Volibear,Evelynn,Vex,Ezreal,Poppy,Warwick,Kalista,Ekko,Elise,10185
Shen,Khazix,Yone,MissFortune,Leona,Shaco,Elise,Ekko,Nautilus,Senna,-15170
Seraphine,Teemo,Sejuani,Tristana,Jinx,Kaisa,Lulu,DrMundo,Jhin,Lux,-4510
Pyke,Shaco,Kalista,Brand,JarvanIV,Ezreal,AurelionSol,Thresh,Zac,XinZhao,-7902
Nautilus,Illaoi,Ashe,Vex,LeeSin,KSante,DrMundo,Teemo,Caitlyn,Lux,9522
Teemo,Kayn,Kaisa,Samira,Soraka,Renekton,Khazix,Veigar,Zeri,Maokai,3704
TahmKench,Shaco,Ahri,Caitlyn,Rammus,Aatrox,Karthus,Lux,Zeri,Nami,382
Kayle,Evelynn,Kassadin,Jinx,Nautilus,Jax,Viego,Sylas,Kalista,Thresh,-6281
Yorick,Vi,TwistedFate,Swain,Neeko,Nasus,Nunu,Yasuo,Smolder,Zyra,-9074
Viego,Teemo,Kassadin,Jinx,Ahri,Gwen,Warwick,Kayle,Zeri,Maokai,3182
Sett,Shaco,Tristana,Smolder,Milio,Trundle,KogMaw,Yasuo,Rammus,Brand,-7333
Skarner,Ashe,Vex,Viego,Thresh,DrMundo,Shaco,Xerath,Kalista,Pyke,-15014
MonkeyKing,Poppy,Syndra,Ashe,Ziggs,Garen,Viego,Veigar,Smolder,Lux,6067
Shaco,Taliyah,Zed,Draven,Pantheon,LeeSin,Zeri,Fizz,Kalista,Lissandra,12492
Kayle,Evelynn,Tristana,Nautilus,Kaisa,Gwen,Graves,TwistedFate,Kalista,Shaco,-10011
Nasus,Jax,Malzahar,KogMaw,Nami,Gwen,Nidalee,Malphite,Kalista,Kennen,3152
Volibear,Vayne,Morgana,Lissandra,MonkeyKing,Kalista,Gwen,Viktor,Kennen,Viego,-12232
Gwen,Ekko,Yone,Kalista,Kennen,Zac,Graves,Taliyah,Lucian,Nami,-6011
Garen,Sejuani,Azir,Lucian,Nami,Mordekaiser,Gragas,Jayce,Kalista,Leona,-14932
Caitlyn,LeeSin,TwistedFate,Kaisa,Lux,Varus,Kayn,Veigar,Kalista,Tristana,2982
Gragas,Shen,Fizz,Chogath,Darius,Gnar,Brand,Katarina,Kalista,Seraphine,5604
Kayle,Ekko,Yone,Kalista,Pyke,Garen,Volibear,Ahri,Jinx,Ashe,-3207
Olaf,Graves,Brand,Samira,Nautilus,Sion,Diana,Akshan,Zeri,Nami,-13175
Quinn,Shyvana,Fizz,Jhin,Gragas,Sion,Ekko,Lux,Kalista,Nautilus,13376
Renekton,Belveth,Leblanc,Kalista,Renata,Urgot,Kayn,Brand,TahmKench,Senna,-12479
Tryndamere,Sejuani,Jayce,MissFortune,Karma,Teemo,Vi,Taliyah,Twitch,Sona,-11384
Chogath,Brand,Taliyah,Ashe,Thresh,AurelionSol,Diana,Yasuo,Ezreal,Rell,-8880
Gwen,Belveth,TwistedFate,Smolder,Nami,Kayle,LeeSin,Yone,Ezreal,Blitzcrank,4041
Gnar,Viego,Yone,Ashe,Leona,Mordekaiser,LeeSin,Lux,Kalista,Neeko,7717
Lux,XinZhao,Ekko,Kalista,Nautilus,Hwei,Sejuani,Ahri,Caitlyn,Nami,-3319
Volibear,Belveth,TwistedFate,Caitlyn,Zoe,Darius,Nidalee,Lux,Kalista,Braum,-8582
Akshan,Brand,Ahri,Jinx,Leona,Kayle,Mordekaiser,Veigar,Draven,Nautilus,5043
Garen,Teemo,Ahri,Lucian,Nami,Yasuo,Brand,Neeko,Jhin,Swain,7232
Volibear,Evelynn,Veigar,Brand,Ashe,Urgot,Viego,Heimerdinger,Caitlyn,Lux,-872
Rumble,Warwick,Lux,Samira,Janna,Gangplank,Kayn,Syndra,Lucian,Nami,-9800
Fiora,LeeSin,Fizz,MissFortune,Lux,Akshan,Diana,AurelionSol,Varus,Neeko,14343
Talon,Nidalee,Yasuo,Draven,Pyke,Jax,Shaco,Yasuo,Varus,Morgana,3054
Gragas,LeeSin,Talon,Lucian,Nami,Aatrox,Lillia,Hwei,Twitch,Neeko,-8900
Illaoi,Nidalee,Diana,Yasuo,Rakan,DrMundo,Nunu,Renekton,MissFortune,Lux,-9565
Gangplank,MonkeyKing,Ezreal,Vayne,Lulu,Darius,LeeSin,Yasuo,Aphelios,Brand,-7469
Urgot,JarvanIV,Katarina,Twitch,Bard,Gangplank,LeeSin,Xerath,Ashe,Milio,7558
Urgot,Shen,Malzahar,Tristana,Yuumi,Darius,LeeSin,Azir,Aphelios,Thresh,-10438
Camille,Fizz,Malzahar,Ashe,Nautilus,Gnar,JarvanIV,Naafiri,Varus,Velkoz,-10974
Irelia,Warwick,Sylas,Tristana,Blitzcrank,Jax,Khazix,Naafiri,MissFortune,Morgana,10061
Olaf,Twitch,Veigar,Samira,Hwei,Gragas,XinZhao,Orianna,Caitlyn,Lux,-6678
Renekton,Ekko,Lissandra,Ashe,Lux,Urgot,Nocturne,Galio,Twitch,Vex,2084
Briar,Blitzcrank,Diana,Jayce,Kalista,Senna,Ekko,Caitlyn,Kayn,TwistedFate,8305
Aatrox,Vi,Diana,Lucian,Nami,Renekton,Briar,Heimerdinger,Ashe,Janna,-10925
Yone,Evelynn,Xerath,TwistedFate,Shaco,TahmKench,Olaf,Akali,Smolder,Senna,2826
Teemo,Evelynn,Naafiri,Kaisa,Janna,Sion,Khazix,Hwei,Jinx,Alistar,16
Darius,Evelynn,Ahri,Aphelios,Teemo,Urgot,Volibear,Ezreal,MissFortune,Maokai,-12337
Gragas,Gragas,Gragas,Gragas,Gragas,Zed,Zed,Zed,Zed,Zed,13725
Teemo,Graves,Talon,Smolder,Yuumi,Chogath,Nocturne,Talon,Ezreal,Hwei,5507
Teemo,Nunu,Jayce,Smolder,Ahri,Yone,Mordekaiser,Shen,Kaisa,Lux,9918
Fiora,Garen,Irelia,Smolder,Azir,Fiora,Udyr,Brand,Yasuo,Velkoz,3646
Gangplank,Hecarim,Akali,Volibear,Zilean,Teemo,MasterYi,Yone,Smolder,Ezreal,5039
Sett,Vi,Taliyah,Caitlyn,Kennen,Malphite,Warwick,Azir,Xayah,Karma,-3149
Jayce,Taliyah,Kassadin,Lucian,Brand,Nasus,Vi,Katarina,Aphelios,Hwei,-5131
Gragas,Warwick,Tryndamere,Zeri,Shaco,Gragas,JarvanIV,Lux,Jinx,Senna,4325
Gangplank,FiddleSticks,Ahri,Draven,Morgana,DrMundo,Sejuani,Sion,Smolder,Renata,-3195
Sion,Volibear,Yone,MissFortune,Maokai,Olaf,LeeSin,Yasuo,Draven,Neeko,-4831
Yasuo,Evelynn,Malzahar,Caitlyn,Quinn,Illaoi,Vi,Gangplank,Aphelios,Sona,-15252
Mordekaiser,MasterYi,Zed,Smolder,Lux,Teemo,Graves,AurelionSol,Aphelios,Morgana,11462
Smolder,Khazix,Sylas,Tristana,TwistedFate,Aatrox,Warwick,Vex,Aphelios,Pyke,-859
TwistedFate,RekSai,Lucian,Draven,Morgana,Nasus,Hecarim,Yasuo,Tristana,Nami,-5706
Yorick,Maokai,AurelionSol,Ashe,Nautilus,Garen,Volibear,Katarina,Draven,Nautilus,8425
Pantheon,Poppy,Lux,Aphelios,Janna,Chogath,LeeSin,Ahri,Smolder,Ashe,-3311
Darius,MasterYi,Qiyana,Cassiopeia,Sona,Poppy,LeeSin,Diana,TwistedFate,Senna,6094
Vayne,Kayn,Malphite,Jhin,Lux,TwistedFate,LeeSin,Galio,Kaisa,Nautilus,9346
Urgot,Briar,Hwei,Kaisa,Blitzcrank,Trundle,Briar,Hwei,Draven,Senna,5535
Varus,Jax,KogMaw,Karma,Leblanc,Soraka,TwistedFate,Sylas,Taliyah,Nautilus,-4243
Riven,Rammus,Zoe,Ezreal,Brand,Graves,Akali,Zed,Seraphine,Bard,-5364
Pantheon,Rell,Ahri,Kaisa,Sona,Smolder,Ivern,Lissandra,Ezreal,Maokai,11829
Gwen,Viego,Diana,Senna,Lux,Volibear,Shen,Pyke,MissFortune,Leona,4142
Aatrox,Vi,Irelia,Caitlyn,Lux,Smolder,Ekko,Yasuo,Jhin,Lulu,4621
Sett,Shaco,Malzahar,MissFortune,Sona,Vayne,Kayn,AurelionSol,Smolder,Lux,9172
Taliyah,Zyra,Bard,Karma,Ekko,Nocturne,Singed,Lux,Garen,Nasus,4776
Ryze,Sett,JarvanIV,Jinx,Yone,Velkoz,Kaisa,Quinn,Vayne,Zoe,4764
Renekton,RekSai,Lucian,MissFortune,Qiyana,Yasuo,LeeSin,Akshan,Aphelios,Briar,-6334
Udyr,LeeSin,Kayle,Hwei,RekSai,Pantheon,Nidalee,Ahri,Jhin,Thresh,3174
Jayce,XinZhao,Diana,Jhin,Ekko,Darius,Nidalee,Orianna,Lucian,Karma,-10618
Jayce,Diana,Lulu,Caitlyn,Nocturne,Smolder,RekSai,Irelia,Jinx,Zyra,4687
TahmKench,Jax,Morgana,Caitlyn,Soraka,Jayce,Kindred,Diana,Jinx,Lulu,-5065
Shen,Viego,Sylas,Lux,Senna,Jax,Warwick,Hwei,Jinx,Leona,-9693
Nasus,Volibear,Brand,Kaisa,Morgana,Mordekaiser,Kindred,Ahri,Caitlyn,Zilean,7351
Sett,Volibear,Nunu,Kaisa,Shen,Nasus,Velkoz,Ahri,Caitlyn,Lux,-8042
Malphite,Viego,Hwei,Caitlyn,Pyke,Shen,Brand,Sylas,Xayah,Sona,-7827
Gwen,Shaco,Soraka,Tristana,Nautilus,Kayle,Nidalee,Karthus,Jhin,Pyke,-4466
Yasuo,Lulu,LeeSin,Soraka,TwistedFate,Akali,Ezreal,Aphelios,Viego,FiddleSticks,-5042
Aatrox,Brand,Sylas,KogMaw,Nami,Garen,Briar,Tristana,Jinx,Lux,10359
Kayle,Warwick,Sylas,Lucian,Nami,Trundle,Amumu,Diana,Varus,Leona,9001
Riven,Karthus,Ryze,Corki,Senna,Akali,Sylas,Rengar,Ashe,Sona,-9665
Skarner,Nidalee,Kaisa,Lucian,Leona,Riven,Brand,Sylas,Samira,Rakan,7659
Aatrox,Evelynn,Akshan,Caitlyn,Seraphine,Garen,Diana,Sylas,Lucian,Leona,-17030
Chogath,LeeSin,Akshan,Jhin,Zyra,Sett,Zac,Sylas,Sivir,Janna,4096
XinZhao,Karthus,Sylas,Kalista,Taric,Riven,Briar,Yasuo,Varus,Ashe,9448
Darius,Warwick,Ahri,Jinx,Alistar,Camille,LeeSin,Irelia,Lucian,Lux,9130
Jayce,Diana,Sylas,Jhin,Xerath,Syndra,Viego,Zed,Aphelios,Blitzcrank,-7607
Chogath,Gwen,Ahri,Ashe,Senna,Katarina,MonkeyKing,Vladimir,MissFortune,Thresh,-1252
Fiora,Skarner,Zed,Jinx,MissFortune,Malphite,Diana,Qiyana,Ashe,Morgana,-9732
Darius,Morgana,Diana,Ashe,Thresh,Irelia,Amumu,Akali,Ezreal,Bard,8504
Jayce,MasterYi,Naafiri,Lux,Veigar,Camille,Lillia,Vi,Caitlyn,Senna,-5359
Garen,Viego,Akali,Zeri,Sona,Brand,Evelynn,Zed,Jinx,Shen,10618
Olaf,Kindred,Hwei,Kaisa,Pyke,Jayce,Khazix,Taliyah,Caitlyn,Lux,12805
Galio,Volibear,Akali,Vayne,Pyke,Riven,Graves,Lux,MissFortune,Morgana,-7807
Darius,Khazix,Morgana,Tristana,Seraphine,Fiora,Viego,Leblanc,MissFortune,Zilean,6913
Ornn,Vi,Sylas,Jinx,Brand,Aatrox,Briar,Fizz,Lucian,Pyke,8612
Yorick,Nocturne,Yasuo,Jinx,Lux,Garen,Viego,Annie,Ezreal,Skarner,12462
DrMundo,Viego,Fizz,Yasuo,Yone,Tryndamere,Graves,Diana,MissFortune,Seraphine,9838
Sylas,Nocturne,Jayce,Xayah,Sona,Trundle,Diana,Ziggs,Jhin,Zyra,5614
Pantheon,Diana,Malzahar,Samira,Morgana,Gwen,Khazix,Yone,Jinx,Taric,-121
Renekton,Warwick,Kassadin,Lucian,Lulu,Akali,Graves,Sylas,Ashe,Poppy,10813
Darius,Belveth,Naafiri,Smolder,Veigar,TahmKench,Zac,Sylas,Caitlyn,Morgana,-11233
Chogath,Zac,Zyra,Senna,Rell,Sett,MasterYi,Sylas,Jinx,Malphite,167
Swain,LeeSin,Sylas,Ezreal,Pantheon,Irelia,Hecarim,AurelionSol,Tristana,Braum,9297
Illaoi,Vi,Veigar,Ashe,Maokai,Teemo,Volibear,Sylas,Caitlyn,Yuumi,-6399
Yorick,Brand,Jayce,Caitlyn,Lux,Garen,Sion,Lissandra,Jinx,Leona,11074
Gwen,JarvanIV,Yasuo,Caitlyn,Thresh,Akali,Belveth,Talon,Twitch,Amumu,-11876
Trundle,Volibear,Lux,Caitlyn,Seraphine,Renekton,Viego,Sylas,Ashe,Janna,-7489
